#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2006fm  0.126   1    0.986    0.017      NaN      NaN   19.561    0.035    0.897   54002.189  0.129
    sn2006fn  0.181   1    0.948    0.074      NaN      NaN   20.004    0.286    1.017   53996.414  1.255
    sn2006fu  0.199   1    1.073    0.048      NaN      NaN   19.582    0.243    1.243   53985.346  0.632
    sn2006fi  0.231   1    0.966    0.061      NaN      NaN   20.288    0.295    2.134   53988.122  1.120
    sn2006gb  0.266   1    1.036    0.061      NaN      NaN   21.029    0.307    1.760   53995.246  0.986
    sn2006fz  0.105   1    0.863    0.007      NaN      NaN   19.350    0.021    2.042   54002.876  0.065
    sn2006go  0.372   0    1.374    0.274      NaN      NaN      NaN      NaN    0.949   53992.942  6.395
    sn2006gg  0.204   1    1.016    0.049      NaN      NaN   19.900    0.215    1.246   54001.367  0.461
    sn2006gx  0.181   1    0.671    0.054      NaN      NaN   20.791    0.302    1.686   53997.842  0.762
    sn2006he  0.215   1    0.606    0.037      NaN      NaN   21.152    0.234    8.593   54000.570  0.384
    sn2006jf  0.282   1    0.784    0.079      NaN      NaN   29.200    0.387    7.004   53988.091  1.751
    sn2006hr  0.158   1    1.047    0.032      NaN      NaN   20.231    0.148    1.334   54005.628  0.394
    sn2006gv  0.199   1    0.834    0.067      NaN      NaN   21.315    0.291    1.322   53992.866  1.643
   SDSS13411  0.163   0    1.600    0.000      NaN      NaN      NaN      NaN    3.246   53948.833  3.719
    sn2006gp  0.213   1    0.672    0.067      NaN      NaN   21.461    0.365    1.234   53996.679  1.214
    sn2006hg  0.245   1    0.817    0.071      NaN      NaN   20.493    0.329    2.505   53999.233  0.808
    sn2006hh  0.237   1    0.400    0.000      NaN      NaN      NaN      NaN    1.793   54055.390  0.735
    sn2006mn  0.299   1    0.400    0.000      NaN      NaN      NaN      NaN    5.197   53996.501  1.358
    sn2006hc  0.228   1    0.928    0.066      NaN      NaN   20.611    0.245    1.965   53998.260  0.799
    sn2006hd  0.298   1    0.545    0.042      NaN      NaN   21.832    0.236    2.904   53994.190  0.742
    sn2006hf  0.210   1    1.043    0.053      NaN      NaN   19.809    0.262    1.642   54003.503  0.698
    sn2006hs  0.252   0    0.861    0.084      NaN      NaN   21.581    0.324    1.752   53974.612  3.705
   SDSS13689  0.252   1    1.367    0.064      NaN      NaN   20.395    0.286    0.872   53999.210  1.043
    sn2006hj  0.227   1    0.560    0.037      NaN      NaN   17.777    0.392    7.645   54001.701  0.365
    sn2006hv  0.150   1    1.133    0.028      NaN      NaN   20.274    0.149    0.965   54014.938  0.350
    sn2006hk  0.289   1    1.125    0.085      NaN      NaN   20.327    0.336    1.542   53992.245  1.465
