cid,class,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
17108,Unknown,1,0.4149628226731752,54048.852219069726,4.926588828782097e-10,0.04654635578379809,1.5593775931192795,8.106551681703058e-11,41.12269972463045,63,Minimization exited successfully.
17109,Unknown,1,0.40625848844809426,54054.33935489252,1.0969885463376166e-09,0.0791422258059655,0.8782420956886199,2.1913046195069033e-10,99.18295297910257,72,Minimization exited successfully.
17110,Unknown,1,0.4122444910674877,54045.48574938608,4.671420205079549e-10,0.025268672916119367,1.0156377890998556,3.879640872255424e-11,80.21502500182176,75,Minimization exited successfully.
17111,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17112,Unknown,1,0.4116872660771671,53995.732053053165,7.075828734483593e-11,0.06537867143368073,2.001065338321496,2.1757097491783165e-11,206.77620069478246,138,Minimization exited successfully.
17113,Unknown,0,0.114486,54050.36091951676,-4.8104209334544126e-11,nan,4.370322177350317,4.859446106783906e-11,262.69623798874494,67,Minimization exited successfully.
17114,zSNII,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17115,zSNIa,0,0.217547,54040.449173736364,3.263703529195569e-10,nan,1.4485275338447536,3.0268613990015055e-11,75.92962131811298,67,Minimization exited successfully.
17116,Unknown,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17117,SNIa,0,0.140153,54058.8985848215,2.952638527680268e-09,nan,0.41100467608703184,3.248831925467369e-10,56.21484334927001,70,Minimization exited successfully.
17118,Unknown,1,0.4117813331867452,54050.44284892555,5.110646603325846e-10,0.030658022279844988,0.8065575533873925,5.245884987953491e-11,132.57311238193805,138,Minimization exited successfully.
17119,Unknown,1,0.40896473249923015,54051.562049893924,7.515061669474275e-10,0.036270405725456895,0.723075415873609,7.948365618325919e-11,77.79011674491286,72,Minimization exited successfully.
17120,Unknown,1,0.4154834783002281,54039.52986452235,4.473891605241249e-10,0.04225994183230128,1.0981325375541928,2.884175534959829e-11,92.6675680498611,69,Minimization exited successfully.
