cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
8350,Unknown,20,20,0,0.218113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
8351,zSNIa,20,20,0,0.381125,53678.73571438658,6.334771783950956e-06,0.9757129978227196,0.03441384003245984,nan,1.0287636415450834,4.0580998992737086e-07,1.0170582141112174,0.050011501293414286,92.13169583776055,76,Minimization exited successfully.
8356,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8378,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8411,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8412,Unknown,20,20,0,0.234,53682.67135187051,2.26848828330688e-05,-1.2583878809130844,-0.37945778157124016,nan,0.20030624983337475,5.590666194153525e-07,0.20656895402465286,0.0168905475813798,255.7365586944183,56,Minimization exited successfully.
8420,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8421,zSNIa,0,20,0,0.479268,53679.50522914579,5.089898241105034e-06,0.23326630713295185,0.04717254258090693,nan,1.4343565795315953,3.9247571143062656e-07,1.2045669887828852,0.06476187384264859,53.139966405929584,56,Minimization exited successfully.
8432,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8454,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
